"ID","X","Y","Date","OCSKGM","Source","type","top","bottom"
"Sainz -33.04203-63.89493",-63.89493,-33.04203,2011-01-01 00:00:00,3.981,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -32.82849-63.90171",-63.90171,-32.82849,2011-01-01 00:00:00,2.592,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -33.04368-63.91256",-63.91256,-33.04368,2011-01-01 00:00:00,4.312,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -33.64334-63.92024",-63.92024,-33.64334,2011-01-01 00:00:00,3.157,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -33.64321-63.92033",-63.92033,-33.64321,2011-01-01 00:00:00,3.633,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -34.03775-63.94518",-63.94518,-34.03775,2011-01-01 00:00:00,4.365,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -34.03785-63.94688",-63.94688,-34.03785,2011-01-01 00:00:00,2.854,"Sainz Rozas et al. (2011)","TS",0,30
"Berhon-36.61968-63.98877",-63.98877,-36.61968,2008-01-01 00:00:00,2.644,"Berhongaray et al., (2013)","TS",0,30
"Berhon-36.61968-63.98877",-63.98877,-36.61968,2008-01-01 00:00:00,2.872,"Berhongaray et al., (2013)","TS",0,30
"Sainz -33.16948-64.05333",-64.05333,-33.16948,2011-01-01 00:00:00,3.313,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -33.1691-64.05367",-64.05367,-33.1691,2011-01-01 00:00:00,3.179,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -32.94871-64.08013",-64.08013,-32.94871,2011-01-01 00:00:00,2.557,"Sainz Rozas et al. (2011)","TS",0,30
"Berhon-35.31996-64.08763",-64.08763,-35.31996,2008-01-01 00:00:00,3.698,"Berhongaray et al., (2013)","TS",0,30
"Berhon-35.31996-64.08763",-64.08763,-35.31996,2008-01-01 00:00:00,1.657,"Berhongaray et al., (2013)","TS",0,30
"Berhon-35.9516-64.1101",-64.1101,-35.9516,2008-01-01 00:00:00,1.779,"Berhongaray et al., (2013)","TS",0,30
"Berhon-35.9516-64.1101",-64.1101,-35.9516,2008-01-01 00:00:00,2.826,"Berhongaray et al., (2013)","TS",0,30
"Sainz -34.49484-64.11296",-64.11296,-34.49484,2011-01-01 00:00:00,3.157,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -34.49443-64.113",-64.113,-34.49443,2011-01-01 00:00:00,2.051,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -33.00796-64.16699",-64.16699,-33.00796,2011-01-01 00:00:00,2.945,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -33.53486-64.17151",-64.17151,-33.53486,2011-01-01 00:00:00,3.521,"Sainz Rozas et al. (2011)","TS",0,30
"Sainz -33.53047-64.18728",-64.18728,-33.53047,2011-01-01 00:00:00,3.574,"Sainz Rozas et al. (2011)","TS",0,30
"Perez -24.84681-64.21346",-64.21346,-24.84681,2012-01-01 00:00:00,4.168,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.84181-64.2135",-64.2135,-24.84181,2012-01-01 00:00:00,6.128,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.84168-64.21464",-64.21464,-24.84168,2012-01-01 00:00:00,5.964,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.84625-64.21501",-64.21501,-24.84625,2012-01-01 00:00:00,4.227,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Campit-31.316667-64.216667",-64.216667,-31.316667,2010-01-01 00:00:00,3.368,"Campitelli et al 2010 (Cs. del suelo)","TS",0,30
"Campit-31.316667-64.216667",-64.216667,-31.316667,2010-01-01 00:00:00,3.143,"Campitelli et al 2010 (Cs. del suelo)","TS",0,30
"Campit-31.316667-64.216667",-64.216667,-31.316667,2010-01-01 00:00:00,2.784,"Campitelli et al 2010 (Cs. del suelo)","TS",0,30
"Campit-31.316667-64.216667",-64.216667,-31.316667,2010-01-01 00:00:00,2.344,"Campitelli et al 2010 (Cs. del suelo)","TS",0,30
"Perez -24.84141-64.21718",-64.21718,-24.84141,2012-01-01 00:00:00,4.052,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.87345-64.22229",-64.22229,-24.87345,2012-01-01 00:00:00,5.295,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.87505-64.22254",-64.22254,-24.87505,2012-01-01 00:00:00,5.188,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
"Perez -24.87524-64.22384",-64.22384,-24.87524,2012-01-01 00:00:00,5.271,"Perez Brandan,2015. Tesis de doctorado","TS",0,30
